Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,PYTHON,JAVA,C_SHARP,GO,NODEJS,SPRING,DJANGO,FLASK,SQL,NOSQL
Разработчик Frontend TypeScript/React ДБО ЮЛ (Цифровизация ВЭД),https://hh.ru/vacancy/118263188,РСХБ-Интех,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Тестировщик (ручное тестирование),https://hh.ru/vacancy/119083537,Сократ Мниирс,не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
"Frontend-разработчик (React.js, TypeScript) Middle",https://hh.ru/vacancy/119138438,INVEST 7,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по тестированию,https://hh.ru/vacancy/119018147,Деловая среда,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Frontend-разработчик,https://hh.ru/vacancy/118990662,Online Market Intelligence (OMI),не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Тестировщик,https://hh.ru/vacancy/118970004,Айтикью Груп,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Manual QA / Инженер по ручному тестированию,https://hh.ru/vacancy/119040750,DDX Fitness,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
QA-специалист (Manual),https://hh.ru/vacancy/119135774,Код Тех,от 100000 до 120000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Frontend разработчик,https://hh.ru/vacancy/119049046,Siberian Wellness,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QA инженер,https://hh.ru/vacancy/119078576,Ит-Финанс,от 125000 до 160000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Frontend Developer (Тераплан),https://hh.ru/vacancy/119190426,YADRO,не указана,От 1 года до 3 лет,Да,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Младший Frontend-разработчик,https://hh.ru/vacancy/119089343,"АРМО, ГК",от 100000 до 150000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Тестировщик ПО (QA Engineer),https://hh.ru/vacancy/118819903,Группа страховых компаний Югория,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frontend-разработчик,https://hh.ru/vacancy/119141047,ГК Орбита,не указана,От 3 до 6 лет,Да,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик (React + TypeScript),https://hh.ru/vacancy/119085354,Лихтинов Сергей,от 70000 до 200000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle+/Senior Frontend-разработчик (React),https://hh.ru/vacancy/119147958,Калина,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend разработчик,https://hh.ru/vacancy/118278705,Софт Бизнес Системы,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Тестировщик ПО,https://hh.ru/vacancy/119012288,Inline Telecom Solutions,от 140000 до 170000 RUR,От 3 до 6 лет,Нет,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
Frontend Developer (React),https://hh.ru/vacancy/119087451,«Баланс-Платформа»,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend разработчик (React),https://hh.ru/vacancy/119020798,Т-Банк,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Разработчик Python,https://hh.ru/vacancy/119123583,Ростелеком,не указана,От 1 года до 3 лет,Нет,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Тестировщик/QA,https://hh.ru/vacancy/119191393,PRO32,не указана,От 3 до 6 лет,Да,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
Инженер-тестировщик,https://hh.ru/vacancy/119167736,Bell Integrator,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QA-инженер,https://hh.ru/vacancy/118807686,Димеко,от 150000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Тестировщик / QA engineer,https://hh.ru/vacancy/116510289,РТК – Цифровой документооборот,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
QA engineer (middle),https://hh.ru/vacancy/119035393,Sitronics Group,до 215000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frontend-разработчик JS,https://hh.ru/vacancy/119113502,Гознак,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Frontend Developer,https://hh.ru/vacancy/119087331,Playerok,от 250000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/119175999,Aiti Guru,от 70000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/118332531,CODex,от 80000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Тестировщик,https://hh.ru/vacancy/118870886,ГКУ Инфогород,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ReactJS разработчик,https://hh.ru/vacancy/119089031,Сеть зоомаркетов Немо,от 200000 до 300000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"React Developer + NextJS (Middle, Remote)",https://hh.ru/vacancy/119104787,Kodix,до 150000 RUR,От 1 года до 3 лет,Нет,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/118987277,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA Engineer (Senior/Middle++),https://hh.ru/vacancy/119030705,Эйайэксперт,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
QA Engineer Manual | Ручной тестировщик (backend),https://hh.ru/vacancy/119016263,Перфоманс Лаб,до 120000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Middle разработчик React (RuBackup),https://hh.ru/vacancy/119172098,Группа компаний Астра,не указана,От 1 года до 3 лет,Да,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
Backend-разработчик,https://hh.ru/vacancy/119165168,НОРСИ-ТРАНС,не указана,От 1 года до 3 лет,Нет,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1
QA specialist,https://hh.ru/vacancy/118766744,РЖД - Цифровые пассажирские решения,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Старший инженер по тестированию,https://hh.ru/vacancy/119083520,Эр-1,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
QA engineer (manual),https://hh.ru/vacancy/117905919,Медиалогия,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
React/JS-разработчик_middle,https://hh.ru/vacancy/119062621,Amex Development,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Blockchain Developer Rust | Solidity,https://hh.ru/vacancy/119149401,ArtVolkov.ru,от 1000000 до 1300000 RUR,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Тестировщик ПО,https://hh.ru/vacancy/118816442,Сфера,от 90000 до 140000 RUR,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
