Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,SQL,DOCKER,GO,LINUX,GIT,AWS,KUBERNETES,DJANGO,FLASK,MATH,DATA_SCIENCE_LIB
"Junior Data Analyst/BI developer (блок ""Сеть Продаж"")",https://hh.ru/vacancy/118051262,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Frontend-разработчик,https://hh.ru/vacancy/118332531,CODex,от 80000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/118987277,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Fullstack QA (гибридный формат работы),https://hh.ru/vacancy/119124248,LIAN,до 260000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Python Developer Middle+,https://hh.ru/vacancy/119170068,АстраЗенека,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,0
"Разработчик Java, Факторы ранжирования",https://hh.ru/vacancy/119068156,Ozon,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,1,0,0,0,0
Java developer (middle),https://hh.ru/vacancy/118965013,JSA Group,не указана,От 1 года до 3 лет,Да,0,1,1,0,0,1,0,0,0,0,0,0
Веб-дизайнер,https://hh.ru/vacancy/118332598,CODex,от 75000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Бизнес-аналитик (гибридный формат работы),https://hh.ru/vacancy/118983101,LIAN,до 320000 RUR,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Директор департамента закупочной деятельности,https://hh.ru/vacancy/118909743,Российское общество Знание,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Младший аналитик данных // Junior data analyst,https://hh.ru/vacancy/119157837,"Группа компаний «Group4Media», Управляющая компания",не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Младший аналитик / Junior Data Science,https://hh.ru/vacancy/119169999,Mediascope,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,1,0,1,0,0,0,1
Data Scientist / Intern / Junior,https://hh.ru/vacancy/118070331,Aramco Innovations,не указана,Нет опыта,Нет,1,0,0,0,0,0,0,0,0,0,0,1
