ВУЗЫ,PYTHON,SQL,DOCKER,GO,LINUX,GIT,AWS,KUBERNETES,DJANGO,FLASK,MATH,DATA_SCIENCE_LIB,EXCEL,POWER_BI,YANDEX_DATALENS,C++,JAVA,R
МФТИ,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ИТМО,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0
МГУ,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
МГТУ Баумана,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0
МИФИ,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
ВШЭ,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
МИРЭА,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
БГТУ,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ОГУ,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ЧувГУ,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
