Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,JAVASCRIPT,TYPESCRIPT,REACT,VUE,ANGULAR,HTML_CSS,WEBPACK,NODEJS
Тестировщик ПО,https://hh.ru/vacancy/119122919,Carcade Leasing,от 100000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frontend-разработчик (React.js, TypeScript) Middle",https://hh.ru/vacancy/119138438,INVEST 7,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,1,1,1,0,0,0,0,0
Frontend developer (React),https://hh.ru/vacancy/119127939,Tennisi,не указана,Более 6 лет,Нет,1,0,0,0,0,1,1,1,0,0,0,1,0
Middle разработчик React (RuBackup),https://hh.ru/vacancy/119172098,Группа компаний Астра,не указана,От 1 года до 3 лет,Да,0,1,1,0,0,1,1,1,0,0,1,1,0
Frontend-разработчик (React/TypeScript),https://hh.ru/vacancy/118971725,Октопустех,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,1,1,0,0,0,0,0
Middle Frontend developer,https://hh.ru/vacancy/119041226,Передовые Системы Обучения и Контроля,от 180000 до 250000 RUR,От 1 года до 3 лет,Да,1,1,0,0,0,1,1,1,0,0,1,0,0
Senior QA (Manual) специалист,https://hh.ru/vacancy/119109711,Верме,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
QA engineer (middle/middle+),https://hh.ru/vacancy/119154924,Т1,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend JavaScript-разработчик (middle/senior),https://hh.ru/vacancy/118980625,ИЦ АЙ-ТЕКО,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,1,1,1,0,0,1,1,0
QA Engineer,https://hh.ru/vacancy/118782946,Софтмус,от 180000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий фронт разработчик/Front-end developer (React),https://hh.ru/vacancy/119041923,Азиатско-Тихоокеанский Банк,не указана,От 3 до 6 лет,Да,1,0,0,0,0,1,1,1,0,0,1,1,0
"Frontend-разработчик (JS, React, Next) Middle",https://hh.ru/vacancy/119004999,Максис,до 170000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,1,1,1,0,0,1,0,0
Backend-разработчик (Python),https://hh.ru/vacancy/119068461,Новые Телеком Решения (НТР),не указана,От 3 до 6 лет,Нет,0,1,1,0,0,0,0,0,0,0,0,0,0
Тестировщик,https://hh.ru/vacancy/118081181,ИРИ,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0
"QA-специалист/тестировщик, middle",https://hh.ru/vacancy/118807842,4А.Консалтинг,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Frontend Developer,https://hh.ru/vacancy/118559304,"Юнити,ООО",не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,1,1,0,0,0,0,1
Специалист по IT,https://hh.ru/vacancy/118279002,Торгпром,от 300000 до 2500000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/118731109,KTS,до 180000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,1,1,0,0,1,1,0
Frontend-разработчик Junior/Middle,https://hh.ru/vacancy/118876971,Your CodeReview,от 80000 до 120000 RUR,От 1 года до 3 лет,Да,0,0,1,0,0,1,1,1,0,0,0,1,0
Инженер по тестированию (QA),https://hh.ru/vacancy/118614943,Т1,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Frontend Разработчик (FinTech),https://hh.ru/vacancy/118080489,Щучкина Алла Андреевна,от 200000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,1,1,1,0,0,0,0,1
Senior Manual QA специалист,https://hh.ru/vacancy/118713094,Линсофтверпродакшн,от 100000 до 180000 RUR,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0
.NET разработчик (middle/senior),https://hh.ru/vacancy/118210094,ITFB Group,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,1,0,0,0,1,0,0
Дизайнер-проектировщик интерфейсов (UX/UI),https://hh.ru/vacancy/119076133,ГКУ Инфогород,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
PHP-разработчик,https://hh.ru/vacancy/119057590,i2crm,не указана,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,0,0,1,0,0
Frontend разработчик (Vue3 + TypeScript) Middle,https://hh.ru/vacancy/119004049,Максис,до 200000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,1,1,0,0,0,1,0,0
Бизнес-аналитик,https://hh.ru/vacancy/117818290,ГК Орбита,до 400000 RUR,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик (Middle+),https://hh.ru/vacancy/118296728,"АБСОЛЮТ, Группа",не указана,От 3 до 6 лет,Нет,1,0,0,0,0,1,1,1,1,0,0,0,0
Senior Frontend developer (React),https://hh.ru/vacancy/118065227,АДВ,не указана,Более 6 лет,Да,1,0,0,0,0,1,1,1,0,0,0,1,1
PHP-разработчик (middle/middle+),https://hh.ru/vacancy/119105864,Keepcode,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,0,0,0,0,0,0
Продуктовый дизайнер (Giga ID),https://hh.ru/vacancy/119177903,Cloud.ru,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Продуктовый дизайнер,https://hh.ru/vacancy/118988788,Cloud.ru,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Python разработчик Middle+,https://hh.ru/vacancy/118847483,EORA,до 200000 RUR,От 3 до 6 лет,Да,1,1,1,0,0,0,0,0,0,0,0,0,0
Backend-разработчик,https://hh.ru/vacancy/119000532,Правительство Москвы,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0
Ruby Developer Senior,https://hh.ru/vacancy/118964851,Медиа Ком,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/119039484,Spice IT,до 240000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,1,1,1,0,0,0,0,0
Тестировщик программного обеспечения (QA-инженер),https://hh.ru/vacancy/118244621,Спринт-Ф,до 90000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик / Senior backend developer (Node.js),https://hh.ru/vacancy/119028466,Пахотина Ксения Евгеньевна,от 300000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,1,0,0,0,0,0,0,1
Backend-разработчик,https://hh.ru/vacancy/118716982,Экомаркет.Ру,от 130000 до 200000 RUR,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,0,0
Junior frontend разработчик,https://hh.ru/vacancy/118665028,amoCRM,до 58000 RUR,Нет опыта,Нет,0,0,1,0,0,1,1,1,0,0,0,1,0
Middle to Senior Recruiter,https://hh.ru/vacancy/118986353,Rusprofile,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,1,0,0,0,0
IT Project manager в продуктовую команду,https://hh.ru/vacancy/118566716,TastyTeam,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Старший разработчик Java,https://hh.ru/vacancy/118449210,R-Style Softlab (Эр-Стайл Софтлаб),не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,0,1,1,0,0,0,0,0
Продуктовый дизайнер (Административная панель),https://hh.ru/vacancy/119178476,Cloud.ru,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Project Manager (гибрид),https://hh.ru/vacancy/119179845,idaproject,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Бизнес/системный аналитик (Биржи/Торговые системы/Банк/Брокер/УК),https://hh.ru/vacancy/119126199,ФИНАМ,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Golang developer,https://hh.ru/vacancy/116372563,Ростелеком - Центры обработки данных,не указана,От 3 до 6 лет,Нет,0,0,1,0,1,0,0,0,0,0,0,0,0
