Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
Chief Data Officer,https://hh.ru/vacancy/119826788,HAAS PLATFORM,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Программист Машинного обучения/ ML Engineer/ Математик,https://hh.ru/vacancy/119277805,Группа компаний «Триумф»,не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ML engineer,https://hh.ru/vacancy/119813378,Эйчар Рокет,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Разработчик ML,https://hh.ru/vacancy/119787194,FIX PRICE,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ML разработчик/Data scientist,https://hh.ru/vacancy/119710027,Аналитический центр при Правительстве Российской Федерации,не указана,От 1 года до 3 лет,Нет,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0
ML/Data Scientist (Junior+/Middle),https://hh.ru/vacancy/118572829,Ростелеком - Центры обработки данных,не указана,От 1 года до 3 лет,Нет,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
Python-разработчик (Направление ML),https://hh.ru/vacancy/118979581,Платформа Трим,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Data Analyst (Junior),https://hh.ru/vacancy/119250574,Штумпф,от 70000 RUR,Нет опыта,Да,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Middle/Middle+ Java developer (Ecom, fintech)",https://hh.ru/vacancy/118701272,Any,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Системный аналитик (Видеоаналитика),https://hh.ru/vacancy/119643817,Сбер Бизнес Софт,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Директор по маркетингу,https://hh.ru/vacancy/119416322,Private HR agency,от 400000 до 650000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior ML Engineer / Data Scientist,https://hh.ru/vacancy/119495959,Digitus Solutions,от 120000 до 200000 RUR,От 1 года до 3 лет,Да,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"Junior NLP, LLM Data Scientist (блок ""В2С"")",https://hh.ru/vacancy/119609618,СБЕР,не указана,Нет опыта,Нет,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0
Senior Data Scientist,https://hh.ru/vacancy/119751375,Джи Эф Си,не указана,От 3 до 6 лет,Да,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Стажер computer vision (задачи быстрой детекции и сегментации),https://hh.ru/vacancy/119122592,MindSet,не указана,Нет опыта,Да,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
ML-engineer (NLP),https://hh.ru/vacancy/119698473,ГНИВЦ,не указана,От 1 года до 3 лет,Да,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
Стажер / Разработка ПО машинного обучения / Yadro Импульс,https://hh.ru/vacancy/119732093,Changellenge,не указана,Нет опыта,Нет,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0
NLP Researcher,https://hh.ru/vacancy/119837578,Криптонит,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0
Data Scientist,https://hh.ru/vacancy/119749370,Точка,до 510000 RUR,От 3 до 6 лет,Да,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
Junior+ ML-инженер,https://hh.ru/vacancy/119771949,СОГАЗ,не указана,От 1 года до 3 лет,Нет,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0
Менеджер проектов по искусственному интеллекту в сфере кредитования,https://hh.ru/vacancy/119301598,СБЕР,не указана,Нет опыта,Нет,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0
Менеджер проектов,https://hh.ru/vacancy/119337160,DCS,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Python-разработчик (ML/CV),https://hh.ru/vacancy/119587590,ГБУ МО УТНКР,от 120000 RUR,От 1 года до 3 лет,Нет,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
Руководитель проектов (Генеративный ИИ),https://hh.ru/vacancy/119722954,Nordgold,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Исследователь в области ИИ и робототехники,https://hh.ru/vacancy/119547232,Образовательный проект №1,не указана,Нет опыта,Нет,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Data Engineer | Инженер данных,https://hh.ru/vacancy/119227360,Операционное совершенство,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Стажер ML (Sber AI Lab),https://hh.ru/vacancy/118956005,СБЕР,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (Прогнозирование спроса и ДЦО Ритейл),https://hh.ru/vacancy/119785739,Сбер Бизнес Софт,не указана,От 1 года до 3 лет,Нет,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Руководитель направления реализации стратегических программ,https://hh.ru/vacancy/119537034,Крупный российский банк,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Junior+ ML-аналитик,https://hh.ru/vacancy/119770582,СОГАЗ,не указана,От 1 года до 3 лет,Нет,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Middle ML Engineer [DSP],https://hh.ru/vacancy/119745427,МТС,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Data Scientist Junior+/Middle,https://hh.ru/vacancy/118799422,Рекрутинговое агентство The One,от 150000 до 200000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Junior ML Engineer / Data scientist (Младший специалист МО),https://hh.ru/vacancy/119382231,Инфосистемы Джет,не указана,От 1 года до 3 лет,Да,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Лидер проектного управления (PMO Lead) Института ИИ МФТИ,https://hh.ru/vacancy/119598745,Стартап Лаборатория,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-разработчик,https://hh.ru/vacancy/119104415,Группа ЭНЭЛТ,не указана,От 1 года до 3 лет,Нет,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0
Quantitative Researcher,https://hh.ru/vacancy/119637198,Дубайт,не указана,От 1 года до 3 лет,Нет,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Инженер по машинному обучению,https://hh.ru/vacancy/119593510,JSA Group,не указана,От 3 до 6 лет,Да,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0
Аналитик Senior/ Team lead,https://hh.ru/vacancy/119834692,metaLead,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
Junior ML-инженер,https://hh.ru/vacancy/118593037,Правительство Москвы,не указана,От 1 года до 3 лет,Нет,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0
Product manager,https://hh.ru/vacancy/109468300,ВижнЛабс (VisionLabs),от 250000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Team Lead (ML),https://hh.ru/vacancy/118835124,Центральный банк Российской Федерации (Банк России),не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
Python Developer AI,https://hh.ru/vacancy/117326410,Альфа-Банк,не указана,От 3 до 6 лет,Нет,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0
Методист / Разработчик образовательного курса по ИИ,https://hh.ru/vacancy/119560784,Айсмарт,от 120000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ассистент менеджера по сбору данных,https://hh.ru/vacancy/119826431,Data Light,от 50000 до 70000 RUR,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer Vision Engineer (Junior/Middle),https://hh.ru/vacancy/119113401,Форк ИТ,не указана,От 1 года до 3 лет,Да,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0
Data Scientist,https://hh.ru/vacancy/117483603,YADRO,не указана,От 3 до 6 лет,Да,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Инженер по программированию БПЛА (C++),https://hh.ru/vacancy/119080952,АЙТИ КА,до 280000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
"Стажер (роботизация, RPA)",https://hh.ru/vacancy/118782075,BeringPro,не указана,Нет опыта,Нет,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0
Аналитик данных (Контроль качества ПВЗ),https://hh.ru/vacancy/119040826,WILDBERRIES,не указана,От 1 года до 3 лет,Нет,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Data Scientist (AI Stylist),https://hh.ru/vacancy/119556787,Lamoda Tech,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0
"Junior Data Scientist (NLP, LLM)",https://hh.ru/vacancy/119404172,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ML Researcher,https://hh.ru/vacancy/117443140,Спектральные Технологии,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/117232071,Data-Driven Lab,не указана,От 1 года до 3 лет,Да,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Старший Data Scientist в команду поискового ранжирования,https://hh.ru/vacancy/119729978,АВИТО ТЕХ,не указана,От 1 года до 3 лет,Нет,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"Data Scientist, Платформа чат-ботов",https://hh.ru/vacancy/119723509,Ozon,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
Data Analyst (команда Intelligent Search),https://hh.ru/vacancy/118136611,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Руководитель core-команды рекомендательной платформы (Technical Leader),https://hh.ru/vacancy/119787866,VK,не указана,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Computer Vision Engineer (БПЛА),https://hh.ru/vacancy/119547464,АЙТИ КА,до 180000 RUR,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
