Название,GIT,DOCKER,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,CLOUD
МФТИ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ИТМО,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Инополис,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0
СПбГУ,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
УрФУ,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
РТУ МИРЭА,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
МИССИС,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0
Московский политех,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0
СФУ,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
Финансовый университет,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0
МЭИ,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0
Плеханова,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0
