Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,SECURITY,PENTEST,OWASP,SIEM,NETWORK,CRYPTO,COMPLIANCE
Руководитель Службы Безопасности,https://hh.ru/vacancy/119132383,Marfatech,не указана,Более 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,1
Middle QA-инженер (Manual),https://hh.ru/vacancy/118310182,ITD Group (International IT-Distribution Group),не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Стажер направления бизнес-аналитики,https://hh.ru/vacancy/119139973,Лаборатория Касперского,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
C# разработчик,https://hh.ru/vacancy/119160472,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,1,0,0,0,0,0,0
Операционный директор/COO,https://hh.ru/vacancy/118913301,СберСпасибо,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Директор по информационным технологиям (CIO),https://hh.ru/vacancy/118725332,МИРИДИУМ,от 350000 до 550000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Senior Frontend Developer (Антибот-сервис),https://hh.ru/vacancy/118442007,Вебмониторэкс,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,0,0,0,0,0,0,0
Старший руководитель проектов,https://hh.ru/vacancy/119159975,Х5 Group,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель проекта (Project Manager),https://hh.ru/vacancy/119158479,CtrlHack,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Ассистент отдела маркетинга,https://hh.ru/vacancy/118082286,Xello,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель информационной безопасности (CISO),https://hh.ru/vacancy/117585681,IT-hunters,от 800000 до 1000000 RUR,Более 6 лет,Да,0,0,0,0,0,0,0,0,1,0,0,1
Golang разработчик,https://hh.ru/vacancy/118557012,CtrlHack,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,0,0,0,0,0
Руководитель направления,https://hh.ru/vacancy/119129525,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Финансовый бизнес-партнер,https://hh.ru/vacancy/119063902,Positive Technologies,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Технический руководитель,https://hh.ru/vacancy/119027066,СБЕР,не указана,Более 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist (Classic ML),https://hh.ru/vacancy/119174814,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель юридической службы,https://hh.ru/vacancy/117880396,SafeTech (СэйфТек),от 200 до 250000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Стажер в финансы,https://hh.ru/vacancy/119024346,Positive Technologies,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Медиатор/Хостес,https://hh.ru/vacancy/119084165,Кибердом,не указана,Нет опыта,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Middle/Middle+ Java Developer (Продуктовая разработка),https://hh.ru/vacancy/118911674,Солар,не указана,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,0,0,0,0
Директор по информационным технологиям (CIO)/EdTech,https://hh.ru/vacancy/119080948,Мобильное электронное образование,от 350000 до 350000 RUR,Более 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Технический директор (CTO),https://hh.ru/vacancy/118872738,СБЕРКОРУС,не указана,Более 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Senior QA Manual Engineer (Security Management),https://hh.ru/vacancy/118976074,Солар,не указана,Более 6 лет,Да,0,1,1,0,0,0,0,0,0,0,0,0
Специалист по информационной безопасности,https://hh.ru/vacancy/119068463,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,1,0,0,1,0,0,0
Account Manager,https://hh.ru/vacancy/119128752,ЭНИ.РАН,не указана,От 3 до 6 лет,Да,0,1,0,0,0,1,0,0,0,0,0,0
Менеджер по продажам,https://hh.ru/vacancy/118051808,Нейроинформ,от 150000 до 300000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Интегратор,https://hh.ru/vacancy/119110228,4hands,от 70000 до 70000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/118959709,СТИ,не указана,Более 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Юрист,https://hh.ru/vacancy/118084404,WeJET,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Рекрутер / Менеджер по подбору персонала,https://hh.ru/vacancy/118660344,Codenrock,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист службы безопасности,https://hh.ru/vacancy/117896088,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по работе с государственными структурами,https://hh.ru/vacancy/118833243,Кибердом,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Руководитель проектов,https://hh.ru/vacancy/119155797,Солар,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Support Manager,https://hh.ru/vacancy/119128350,ЭНИ.РАН,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,1,0,0,0,0,0,0
Junior project manager/Младший менеджер проектов,https://hh.ru/vacancy/118500705,CrypToro,от 100000 до 120000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Delivery manager,https://hh.ru/vacancy/118592354,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/119012124,ГК Innostage,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,1,0,0,0
Системный администратор Linux (Виртуализация),https://hh.ru/vacancy/118959093,Солар,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Бизнес-аналитик,https://hh.ru/vacancy/119090060,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Разработчик Java/Kotlin (Middle/Senior),https://hh.ru/vacancy/118126708,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,1,0,0,0,0,0,0
Менеджер по продажам IT-продуктов,https://hh.ru/vacancy/118144665,HR Store (ИП Шибанова Дарья Рафаиловна),от 90000 до 500000 RUR,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель управления внедрения,https://hh.ru/vacancy/119024271,INFOWATCH,не указана,Более 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Начальник сектора по эксплуатации оконечного оборудования,https://hh.ru/vacancy/119101122,ГБУ Финансово-Хозяйственное Управление,от 200000 до 200000 RUR,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Разработчик данных,https://hh.ru/vacancy/118169778,IT_One,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
